Epic,Company_Name
3IN,3i Infrastructure
888,888 Holdings
ACA,Acacia Mining
AGK,Aggreko
AGR,Assura Group
AMGO,Amigo Holdings
AML,Aston Martin Lagonda
APAX,Apax Global Alpha
ASCL,Ascential
ASHM,Ashmore Group
ASL,Aberforth Smaller Companies Trust
ATST,Alliance Trust
AVST,Avast
AVV,AVEVA Group
BAB,Babcock International Group
BAG,Barr (A G)
BAKK,Bakkavor Group
BBA,BBA Aviation
BBGI,BBGI Sicav S.A.
BBOX,Tritax Big Box Reit
BBY,Balfour Beatty
BCA,BCA Marketplace
BEZ,Beazley
BGEO,BGEO Group
BGFD,Baillie Gifford Japan Trust (the)
BGSC,BMO GLOBAL SMALLER COMPANIES PLC ORD 25P
BME,B&M European Value Retail
BNKR,Bankers' Investment Trust (the)
BOY,Bodycote
BRSC,BlackRock Smaller Companies Trust
BRW,Brewin Dolphin Holdings
BTEM,British Empire Trust
BTG,BTG
BVIC,Britvic
BVS,Bovis Homes Group
BWY,Bellway
BYG,Big Yellow Group
CAPC,Capital & Counties Properties
CARD,Card Factory
CBG,Close Brothers Group
CCC,Computacenter
CCFS,Charter Court Financial Services Group
CEY,Centamin
CINE,Cineworld Group
CKN,Clarkson
CLDN,Caledonia Investments
CLI,CLS Holdings
CNE,Cairn Energy
COA,Coats Group
COB,Cobham
CPI,Capita Group (The)
CRST,Crest Nicholson Holdings
CSH,W Resources (formerly Caspian Holdings )
CSP,Countryside Properties
CTEC,ConvaTec Group
CTY,City Of London Investment Trust (the)
CWK,Cranswick
CYBG,CYBG
DC.,Dixons Carphone
DCG,Dairy Crest Group
DJAN,Daejan Holdings
DLN,Derwent London
DNLM,Dunelm Group
DOM,Domino's Pizza Group
DPH,Dechra Pharmaceuticals
DPLM,Diploma
DRX,Drax Group
ECM,Electrocomponents
EDIN,Edinburgh Investment Trust (the)
EFM,Edinburgh Dragon Trust
EIG,EI Group
ELM,Elementis
EMG,Man Group
ENOG,Energean Oil Gas
EQN,Equiniti Group
ERM,Euromoney Institutional Investor
ESNT,Essentra
ETO,Entertainment One Group
FCH,Funding Circle Holdings Ord 0.1p Wi
FCIT,F&C INVESTMENT TRUST PLC ORD 25P
FCPT,F&C Commercial Property Tst Ld
FCSS,Fidelity China Special Situations
FDM,FDM Group (Holdings)
FEV,Fidelity European Values
FGP,FirstGroup
FGT,Finsbury Growth & Income Trust
FSJ,Fisher (James) & Sons
FSV,Fidelity Special Values
FXPO,Ferrexpo
GAW,Games Workshop Group
GCP,GCP Infrastructure Investments
GFRD,Galliford Try
GFS,G4S
GFTU,Grafton Group
GLO,Contourglobal Ord 1p Wi
GNC,Greencore Group
GNK,Greene King
GNS,Genus
GOG,Go-Ahead Group (The)
GPOR,Great Portland Estates
GRG,Greggs
GRI,Grainger
GSS,Genesis Emerging Markets Fnd Ld
HAS,Hays
HFD,Halfords Group
HFG,Hilton Food Group
HGT,HG Capital Trust
HICL,HICL Infrastructure Co
HILS,Hill & Smith Holdings
HMSO,Hammerson
HOC,Hochschild Mining
HRI,Herald Investment Trust
HSTG,Hastings Group Holdings
HSV,Homeserve
HTG,Hunting
HVPE,Harbourvest Global Private Equity
HWDN,Howden Joinery Group
IBST,Ibstock
ICP,Intermediate Capital Group
IGG,IG Group Holdings
IHP,Integrafin Holdings Ord 1p Wi
IMI,IMI
INCH,Inchcape
INDV,Indivior
INPP,International Public Partnership
INTU,Intu Properties
INVP,Investec
IPO,IP Group
ISAT,Inmarsat
IWG,IWG
JAM,JPMorgan American IT
JD.,JD Sports Fashion
JDW,Wetherspoon (J D)
JE.,Just Eat
JEO,Jupiter European Opportunities Trust
JFJ,JPMorgan Japanese Investment Trust
JII,JPMorgan Indian Investment Trust
JLG,John Laing Group
JLT,Jardine Lloyd Thompson Group
JMG,JPMorgan Emerging Markets Investment Trust
JUP,Jupiter Fund Management
JUST,Just Group
KAZ,Kaz Minerals
LMP,LondonMetric Property
LRE,Lancashire Holdings
MAB,Mitchells & Butlers
MCS,McCarthy Stone
MDC,Mediclinic International
MERL,Merlin Entertainments
MGAM,Morgan Advanced Materials
MGGT,Meggitt
MLC,Millennium & Copthorne Hotels
MNKS,Monks Investment Trust (the)
MONY,Moneysupermarket.com Group
MRC,Mercantile Investment Trust
MSLH,Marshalls
MTRO,Metro Bank
MYI,Murray International Trust
NBLS,NB Global Floating Rate Inc Fund £
NEX,National Express Group
NRR,NewRiver Retail
OSB,Onesavings Bank
PAG,Paragon Banking Group
PAGE,PageGroup
PCT,Polar Capital Technology Trust
PFC,Petrofac
PFG,Provident Financial
PHNX,Phoenix Group Holdings
PHP,Primary Health Properties
PIN,Pantheon International
PLI,Perpetual Income And Growth Investment Trust
PLP,Polypipe Group
PLUS,Plus500
PMO,Premier Oil
PNL,Personal Assets Trust
PNN,Pennon Group
POLY,Polymetal International
PSH,Pershing Square Holdings Ord Npv
PTEC,Playtech
PZC,PZ Cussons
QLT,Quilter Ord Gbp0.07
QQ.,QinetiQ Group
RAT,Rathbone Brothers
RCP,RIT Capital Partners
RDW,Redrow
RHIM,RHI Magnesita NV
RMG,Royal Mail
RNK,Rank Group (The)
ROR,Rotork
RPC,RPC Group
RSE,Riverstone Energy Limited
RSW,Renishaw
RTN,Restaurant Group (The)
SAFE,Safestore Holdings
SAGA,Saga
SBRE,Sabre Insurance Group
SCIN,Scottish Investment Trust (the)
SCT,Softcat
SDP,Schroder Asiapacific Fund
SDRY,Superdry
SEQI,Sequoia Economic Infrastructure Income Fund
SGC,Stagecoach Group
SHB,Shaftesbury
SHI,SIG
SMP,St Modwen Properties
SMWH,WH Smith
SNN,Sanne Group
SNR,Senior
SOPH,Sophos Group
SPD,Sports Direct International
SPT,Spirent Communications
SRP,Serco Group
SSON,SMITHSON INVESTMENT TRUST PLC ORD 1P
SSPG,SSP Group
STOB,Stobart Group
SVS,Savills
SXS,Spectris
SXX,Sirius Minerals
SYNC,Syncona
SYNT,Synthomer
TALK,TalkTalk Telecom Group
TATE,Tate & Lyle
TBCG,TBC Bank Group
TCAP,TP Icap
TED,Ted Baker
TEM,Templeton Emerging Markets Investment Trust
TEP,Telecom plus
TIFS,Ti Fluid Systems Ord 1p Wi
TLW,Tullow Oil
TMPL,Temple Bar Investment Trust
TPK,Travis Perkins
TRIG,The Renewables Infrastructure Group
TRY,TR Property Investment Trust
UDG,UDG Healthcare
UKCM,UK Commercial Property Trust
UKW,Greencoat UK Wind
ULE,Ultra Electronics Holdings
UTG,Unite Group
VCT,Victrex
VEIL,Vietnam Enterprise Investments
VOF,VinaCapital Vietnam Opp. Fund
VSVS,Vesuvius
VVO,Vivo Energy
WEIR,Weir Group
WIZZ,Wizz Air Holdings
WKP,Workspace Group
WMH,William Hill
WPCT,Woodford Patient Capital Trust
WTAN,Witan Investment Trust
WWH,Worldwide Healthcare Trust
